JCKBH,FAH,XWH,JKD,CDZ,KSSJ,JSSJ
4006,1,2,北,直,1900-01-01 17:49:14,1900-01-01 17:49:47
4006,1,2,北,直,1900-01-01 17:50:41,1900-01-01 17:51:14
4006,1,2,北,直,1900-01-01 17:52:08,1900-01-01 17:52:41
4006,1,2,北,直,1900-01-01 17:53:35,1900-01-01 17:54:08
4006,1,2,北,直,1900-01-01 17:55:02,1900-01-01 17:55:35
4006,1,2,北,直,1900-01-01 17:56:29,1900-01-01 17:57:02
4006,1,2,北,直,1900-01-01 17:57:56,1900-01-01 17:58:29
4006,1,2,北,直,1900-01-01 17:59:23,1900-01-01 17:59:56
4006,1,2,北,直,1900-01-01 18:00:50,1900-01-01 18:01:23
4006,1,1,北,左,1900-01-01 17:00:50,1900-01-01 17:01:23
4006,1,1,北,左,1900-01-01 17:02:17,1900-01-01 17:02:50
4006,1,1,北,左,1900-01-01 17:03:44,1900-01-01 17:04:17
4006,1,1,北,左,1900-01-01 17:05:11,1900-01-01 17:05:44
4006,1,1,北,左,1900-01-01 17:06:38,1900-01-01 17:07:11
4006,1,1,北,左,1900-01-01 17:08:05,1900-01-01 17:08:38
4006,1,1,北,左,1900-01-01 17:09:32,1900-01-01 17:10:05
4006,1,1,北,左,1900-01-01 17:10:59,1900-01-01 17:11:32
4006,1,1,北,左,1900-01-01 17:12:26,1900-01-01 17:12:59
4006,1,1,北,左,1900-01-01 17:13:53,1900-01-01 17:14:26
4006,1,1,北,左,1900-01-01 17:15:20,1900-01-01 17:15:53
4006,1,1,北,左,1900-01-01 17:16:47,1900-01-01 17:17:20
4006,1,1,北,左,1900-01-01 17:18:14,1900-01-01 17:18:47
4006,1,1,北,左,1900-01-01 17:19:41,1900-01-01 17:20:14
4006,1,1,北,左,1900-01-01 17:21:08,1900-01-01 17:21:41
4006,1,1,北,左,1900-01-01 17:22:35,1900-01-01 17:23:08
4006,1,1,北,左,1900-01-01 17:24:02,1900-01-01 17:24:35
4006,1,1,北,左,1900-01-01 17:25:29,1900-01-01 17:26:02
4006,1,1,北,左,1900-01-01 17:26:56,1900-01-01 17:27:29
4006,1,1,北,左,1900-01-01 17:28:23,1900-01-01 17:28:56
4006,1,1,北,左,1900-01-01 17:29:50,1900-01-01 17:30:23
4006,1,1,北,左,1900-01-01 17:31:17,1900-01-01 17:31:50
4006,1,1,北,左,1900-01-01 17:32:44,1900-01-01 17:33:17
4006,1,1,北,左,1900-01-01 17:34:11,1900-01-01 17:34:44
4006,1,1,北,左,1900-01-01 17:35:38,1900-01-01 17:36:11
4006,1,1,北,左,1900-01-01 17:37:05,1900-01-01 17:37:38
4006,1,1,北,左,1900-01-01 17:38:32,1900-01-01 17:39:05
4006,1,1,北,左,1900-01-01 17:39:59,1900-01-01 17:40:32
